the_official_name,gdelt_name,cyber_news_count,cited_by_count,works_count,log_cited_by_count,log_works_count,country,match_score,prestige_tier
University of North Florida,University Of North Florida,10,285358,11811,12.56150332,9.376871243,US,100,Medium (100K-1M)
University of North Georgia,University Of North Georgia,37,32249,2612,10.38127332,7.868254266,US,100,Low (<100K)
University of North Texas,University Of North Texas; University Of Texas,70,3087555,61550,14.9428904,11.02762138,US,95,High (1M-5M)
University of Northampton,University Of Northampton,4,165711,6868,12.01800662,8.834773814,GB,100,Medium (100K-1M)
University of Notre Dame,University Of Notre Dame,29,8248356,98967,15.92552459,11.50255184,US,100,Elite (5M+)
University of Nottingham,University Of Nottingham,15,13551953,187031,16.4220413,12.139035,GB,100,Elite (5M+)
University of Oklahoma,University Of Oklahoma,18,6476066,89656,15.68362394,11.40374656,US,100,Elite (5M+)
University of Oregon,University Of Oregon,18,7279977,57378,15.8006384,10.95743366,US,100,Elite (5M+)
University of Oslo,University Of Oslo,7,15595514,188756,16.56249393,12.14821575,NO,100,Elite (5M+)
University of Otago,University Of Otago,6,6474655,91528,15.68340604,11.42441114,NZ,100,Elite (5M+)
University of Ottawa,University Of Ottawa,28,12116752,165172,16.3100996,12.01474869,CA,100,Elite (5M+)
University of Oulu,University Of Oulu,4,5808062,75599,15.57475768,11.23321156,FI,100,Elite (5M+)
University of Oxford,Oxford University; University Of Oxford; University Oxford,155,62747514,590904,17.95462953,13.28941054,GB,95,Elite (5M+)
University of Padua,University Of Padova,6,19602081,211177,16.79114634,12.26045666,IT,92,Elite (5M+)
University of Palermo,University Of Palermo,5,4900488,78670,15.40484555,11.27302988,IT,100,High (1M-5M)
University of Pennsylvania,University Of Pennsylvania,43,54486122,379869,17.8134566,12.84758437,US,100,Elite (5M+)
University of Perugia,University Of Perugia,4,6681422,67482,15.71484155,11.11963099,IT,100,Elite (5M+)
University of Phoenix,University Of Phoenix,19,152629,6874,11.93577197,8.835646923,US,100,Medium (100K-1M)
University of Piraeus,University Of Piraeus,6,332444,12136,12.71422971,9.404013917,GR,100,Medium (100K-1M)
University of Pisa,University Of Paris; University Of Pisa; University Pisa,18,12504797,135170,16.34162297,11.81429592,IT,92,Elite (5M+)
University of Pittsburgh,University Of Pittsburgh; University Of Pittsburgh Institute For Cyber Law,37,33725966,295991,17.33377863,12.59808771,US,90,Elite (5M+)
University of Plymouth,University Of Plymouth,20,2146386,37693,14.57929652,10.53725621,GB,100,High (1M-5M)
University of Portsmouth,Portsmouth University; University Of Portsmouth,25,2276391,38020,14.63810229,10.54589392,GB,95,High (1M-5M)
University of Potsdam,University Potsdam,14,2910296,61273,14.8837657,11.02311089,DE,95,High (1M-5M)
University of Pretoria,University Of Pretoria,6,3146032,95918,14.96165285,11.47125936,ZA,100,High (1M-5M)
University of Professional Studies,University Of Professional,3,29519,2572,10.29282328,7.852827812,GH,95,Low (<100K)
University of Puerto Rico System,University Of Puerto Rico,4,996669,18046,13.812175,9.800734745,PR,95,Medium (100K-1M)
University of Reading,Reading University; University Of Reading,14,5309079,88763,15.48492912,11.39373644,GB,95,Elite (5M+)
University of Regina,University Of Regina,7,1182682,24591,13.98329614,10.11017647,CA,100,High (1M-5M)
University of Rhode Island,University Of Rhode Island,17,2446936,41864,14.7103476,10.64220543,US,100,High (1M-5M)
University of Richmond,University Of Richmond,3,477445,17862,13.07620634,9.790486813,US,100,Medium (100K-1M)
University of Rochester,University Of Rochester,12,15780982,146464,16.57431617,11.89454177,US,100,Elite (5M+)
University of Salerno,University Of Salerno,13,3509244,56210,15.07091147,10.93686775,IT,100,High (1M-5M)
University of Salford,University Of Salford,6,1454735,39735,14.190335,10.59001286,GB,100,High (1M-5M)
University of Santo Tomas,University Of Santo Tomas,6,132753,6483,11.79625307,8.777092883,PH,100,Medium (100K-1M)
University of Saskatchewan,University Of Saskatchewan,9,5459543,95187,15.51287583,11.46360916,CA,100,Elite (5M+)
University of Scranton,University Of Scranton,7,127796,4568,11.75819835,8.427049642,US,100,Medium (100K-1M)
University of Sheffield,University Of Sheffield,9,15769904,190072,16.57361393,12.15516349,GB,100,Elite (5M+)
University of Siena,University Of Siena,3,4777698,60479,15.37946961,11.01006801,IT,100,High (1M-5M)
University of South Alabama,University Of South Alabama,8,1408949,21858,14.1583553,9.992368015,US,100,High (1M-5M)
University of South Australia,University Of South Australia,10,3665306,59107,15.11442266,10.98712156,AU,100,High (1M-5M)
